page,name,amount ,premium,premium_fraction,accepted
325,T.J. Abott,2,4,,1
325,Looe Baker,5,3.06,,1
325,Samuel L. Brooks,100,3.06,,1
325,W.C. Bestor,5,3.53,,1
325,W.C. Bestor,5,3.63,,1
325,W.C. Bestor,5,3.78,,1
325,W.C. Bestor,5,4.03,,1
325,A.R. Corbin,10,3.5,,1
325,E.W. Clark & Brothers,150,3.03,,1
325,E.W. Clark & Brothers,100,3.13,,1
325,E.W. Clark & Brothers,100,3.2,,1
325,E.W. Clark & Brothers,150,3.28,0.5,1
325,E.W. Clark & Brothers,100,3.3,,1
325,E.W. Clark & Brothers,100,3.43,,1
325,E.W. Clark & Brothers,100,3.52,0.5,1
325,E.W. Clark & Brothers,50,3.33,,1
325,E.W. Clark & Brothers,50,3.44,,1
325,E.W. Clark & Brothers,50,3.56,,1
325,"Corcoran & Riggs, for selves and Baring, Brothers & Co., London, and others",16000,3.02,,1
325,Chubb & Schenck,50,3.03,,1
325,Chubb & Schenck,50,3.03,,1
325,Chubb & Schenck,50,3.28,,1
325,Charles Guantt,1.2,3,0.5,1
325,J.B.B. Hale,20,3,0.375,1
325,J.B.B. Hale,20,3,0.125,1
325,J.P. Hamilton,100,3.16,0.25,1
325,Samuel Keith,10,3.63,,1
325,James C. McGuire,25,3.07,,1
325,James C. McGuire,25,3.27,,1
325,James C. McGuire,25,3.57,,1
325,R.W. Meade,10,3.02,,1
325,W.R. Morgan,250,3.06,,1
325,W.R. Morgan,50,3.07,,1
325,Lott Newell,5,3.05,,1
325,Lott Newell,5,3.27,,1
325,Lott Newell,5,3.52,,1
325,H.M. Prevost,10,3.06,,1
325,H.M. Prevost,10,3.16,,1
325,H.M. Prevost,10,3.28,,1
325,H.M. Prevost,10,3.39,,1
325,H.M. Prevost,5,3.55,,1
325,H.M. Prevost,10,3.56,,1
325,H.M. Prevost,5,3.65,,1
325,H.M. Prevost,5,3.8,,1
325,H.M. Prevost,5,4.05,,1
325,J.P. Pleasants,10,3.07,,1
325,J.P. Pleasants,5,3.13,,1
325,H.M. Prevost for H. Hough,5,3.2,,1
325,H.M. Prevost for H. Hough,5,3.4,,1
325,H.R. Schoolcraft,0.25,3.02,,1
325,H.M. Wilson,0.8,3,0.25,1
325,H.M. Wilson,0.2,3,0.25,1
325,Winslow & Perkins,50,3.02,,1
326,J.C. Abel,1,1,0.5,0
326,"John M. Atwood, for Colin M. Reed",0.8,2.91,,0
326,T.M. Abbett,12,1,,0
326,Looe Baker,5,1.53,,0
326,Looe Baker,5,2.03,,0
326,Looe Baker,5,2.28,,0
326,Looe Baker,5,2.53,,0
326,Looe Baker,5,2.78,,0
326,Thomas P. Bayley,5,2.55,,0
326,Joseph Burger,5,1,0.5,0
326,Hiram Birdsey,2,1,,0
326,Anthony Best,1,1,0.5,0
326,Jon C. Bouron,3,2,,0
326,Samuel Borden,10,1,0.5,0
326,Henry Becket,25,1,0.5,0
326,John W. Barker,5,2,,0
326,"R.M. Blackwell, for Eli Smallwood",3.5,2,,0
326,G.S. Benson,5,1,0.125,0
326,G.S. Benson,5,1,0.375,0
326,W.G. Brown,1,0,,0
326,W.A. Budd,50,2.51,,0
326,F.W. Byrdsall,2,1,,0
326,Thomas P. Bayley,8,2.8,,0
326,Henry Barnard,3,0,0.5,0
326,Henry Bodmer,5,1,,0
326,Frederick Bronson,10,1,0.75,0
326,Enos Brener,2,2,,0
326,M.G. Bright,80,1.27,,0
326,L. Bonnefoux,20,0.26,,0
326,L. Bonnefoux,20,0.51,,0
326,L. Bonnefoux,20,0.76,,0
326,L. Bonnefoux,20,1.01,,0
326,L. Bonnefoux,15,1.26,,0
326,L. Bonnefoux,12.5,1.51,,0
326,L. Bonnefoux,10,1.76,,0
