page,bid_number,bidder,amount,value,accepted,rejected,errors,city,state
32,1,S.S. White,1,100,1,,,Philadelphia,PA
32,2,Otis Daniell,10,95,10,,,Boston,MA
32,2,Otis Daniell,10,94.25,10,,,Boston,MA
32,2,Otis Daniell,20,94,20,,1,Boston,MA
32,2,Otis Daniell,30,93.16,,30,,Boston,MA
32,2,Otis Daniell,30,92.52,,30,,Boston,MA
32,2,Otis Daniell,20,92.1,,20,,Boston,MA
32,2,Otis Daniell,10,91,,10,,Boston,MA
32,3,Robert J. Wright,4,94.5,4,,,Philadelphia,PA
32,4,George A. Stone,1,94.26,1,,,Troy,NY
32,4,George A. Stone,2,93.79,,2,,Troy,NY
32,4,George A. Stone,2,93.56,,2,,Troy,NY
32,4,George A. Stone,2,93.31,,2,,Troy,NY
32,4,George A. Stone,3,93.17,,3,,Troy,NY
32,5,G.S. Pepper,20,94.25,20,,,Philadelphia,PA
32,6,C.D. Matthews,5,94.07,5,,,New York,NY
32,6,C.D. Matthews,5,93.79,,5,,New York,NY
32,6,C.D. Matthews,5,93.55,,5,,New York,NY
32,6,C.D. Matthews,5,93.15,,5,,New York,NY
32,6,C.D. Matthews,10,92.57,,10,,New York,NY
32,6,C.D. Matthews,10,92.15,,10,,New York,NY
32,6,C.D. Matthews,10,91.55,,10,,New York,NY
32,7,Marie & Kanz,30,94.06,30,,,New York,NY
32,7,Marie & Kanz,40,93.81,,40,,New York,NY
32,7,Marie & Kanz,60,93.56,,60,,New York,NY
32,7,Marie & Kanz,70,93.31,,70,,New York,NY
33,7,Marie & Kanz,100,93.11,,100,,New York,NY
33,7,Marie & Kanz,100,93.06,,100,,New York,NY
33,7,Marie & Kanz,6,93,,6,,New York,NY
33,7,Marie & Kanz,100,92.91,,100,,New York,NY
33,7,Marie & Kanz,100,92.81,,100,,New York,NY
33,7,Marie & Kanz,100,92.56,,100,,New York,NY
33,7,Marie & Kanz,100,92.26,,100,,New York,NY
33,7,Marie & Kanz,100,92.01,,100,,New York,NY
33,7,Marie & Kanz,100,91.76,,100,,New York,NY
33,8,"A.T. Lowe, President",12,94.05,12,,,Boston,MA
33,8,"A.T. Lowe, President",12,93.3,,12,,Boston,MA
33,8,"A.T. Lowe, President",12,92.55,,12,,Boston,MA
33,8,"A.T. Lowe, President",12,92.05,,12,,Boston,MA
33,8,"A.T. Lowe, President",12,91.3,,12,,Boston,MA
33,9,J.W. Walcott & Co,100,94.05,100,,,Boston,MA
33,9,J.W. Walcott & Co,100,93.67,,100,,Boston,MA
33,9,J.W. Walcott & Co,100,93.33,,100,,Boston,MA
33,9,J.W. Walcott & Co,100,93.05,,100,,Boston,MA
33,10,"William Beals, Jr. ",1,94,1,,,Boston,MA
33,10,"William Beals, Jr.",1,93.75,,1,,Boston,MA
33,10,"William Beals, Jr.",1,93.5,,1,,Boston,MA
33,10,"William Beals, Jr.",1,93.38,,1,,Boston,MA
33,10,"William Beals, Jr.",1,93.25,,1,,Boston,MA
33,11,J. Vincent Brown,15,94,15,,,Salem,MA
33,12,W.C. Dougherty,2,94,2,,,New York,NY
33,12,W.C. Dougherty,2,93.75,,2,,New York,NY
33,12,W.C. Dougherty,2,93.5,,2,,New York,NY
33,12,W.C. Dougherty,2,93.25,,2,,New York,NY
33,12,W.C. Dougherty,2,93,,2,,New York,NY
33,13,Phillip R. Kearney,8,94,8,,,New York,NY
33,14,William L. Abbott,10,94,10,,,Philadelphia,PA
33,14,William L. Abbott,10,93.1,,10,,Philadelphia,PA
33,14,William L. Abbott,10,92.76,,10,,Philadelphia,PA
33,15,John A. Dix,25,94,25,,,New York,NY
33,16,Charles H. Delevan,20,94,20,,,New York,NY
33,16,Charles H. Delevan,20,93.75,,20,,New York,NY
33,16,Charles H. Delevan,40,93,,40,,New York,NY
33,17,J. T. Van Vleck,10,94,10,,,New York,NY
33,17,J. T. Van Vleck,10,93.9,,10,,New York,NY
34,17,J. T. Van Vleck,10,93.8,,10,,New York,NY
34,17,J. T. Van Vleck,10,93.7,,10,,New York,NY
34,18,Bank of Commerce,2500,94,2500,,,New York,NY
34,19,Bank of America,250,94,250,,,New York,NY
34,19,Bank of America,250,93.6,,250,,New York,NY
34,20,A.W. Nicholson,10,94,10,,,New York,NY
34,20,A.W. Nicholson,10,93.5,,10,,New York,NY
34,20,A.W. Nicholson,10,93,,10,,New York,NY
34,21,Samuel C. Thompson,10,94,10,,,New York,NY
34,21,Samuel C. Thompson,10,93.75,,10,,New York,NY
34,21,Samuel C. Thompson,10,93.5,,10,,New York,NY
34,22,American Colonization Society,5,94,5,,,Washington,DC
34,22,American Colonization Society,5,93.75,,5,,Washington,DC
34,22,American Colonization Society,5,93.5,,5,,Washington,DC
34,22,American Colonization Society,5,93.25,,5,,Washington,DC
34,22,American Colonization Society,5,93,,5,,Washington,DC
34,22,American Colonization Society,5,92.25,,5,,Washington,DC
34,22,American Colonization Society,5,92,,5,,Washington,DC
34,22,American Colonization Society,5,91.75,,5,,Washington,DC
34,23,F.R. James & Co,20,94,20,,,New York,NY
34,24,E.D. Peters,5,92,,5,,Boston,MA
34,25,Buffalo Savings Bank,40,91.5,,40,,Boston,MA
34,26,"George W. Patterson, Jr.",1,90.19,,1,,Corning,NY
34,26,"George W. Patterson, Jr.",1,91.29,,1,,Corning,NY
34,26,"George W. Patterson, Jr.",1,90.39,,1,,Corning,NY
34,26,"George W. Patterson, Jr.",1,90.59,,1,,Corning,NY
34,26,"George W. Patterson, Jr.",1,90.79,,1,,Corning,NY
34,26,"George W. Patterson, Jr.",1,90.89,,1,,Corning,NY
34,26,"George W. Patterson, Jr.",1,91.19,,1,,Corning,NY
34,26,"George W. Patterson, Jr.",1,91.29,,1,,Corning,NY
34,26,"George W. Patterson, Jr.",1,91.59,,1,,Corning,NY
34,26,"George W. Patterson, Jr.",1,91.79,,1,,Corning,NY
35,27,V.S. Kenyon,1,90.16,,1,,New York,NY
35,27,V.S. Kenyon,2,90.27,,2,,New York,NY
35,27,V.S. Kenyon,1,90.52,,1,,New York,NY
35,27,V.S. Kenyon,2,90.76,,2,,New York,NY
35,27,V.S. Kenyon,2,91.26,,2,,New York,NY
35,27,V.S. Kenyon,1,91.52,,1,,New York,NY
35,27,V.S. Kenyon,1,91.76,,1,,New York,NY
35,28,C.A. Burnham,5,91.8,,5,,Ogdensburgh,NY
35,29,N.L. Giswold,5,92,,5,,New York,NY
35,30,Stone & Domer,20,91.55,,20,,Boston,MA
35,30,Stone & Domer,10,92.15,,10,,Boston,MA
35,30,Stone & Domer,10,92.65,,10,,Boston,MA
35,30,Stone & Domer,10,93.85,,10,,Boston,MA
35,31,William Beals & Co.,4,92,,4,,Boston,MA
35,31,William Beals & Co.,2,92.13,,2,,Boston,MA
35,31,William Beals & Co.,2,92.25,,2,,Boston,MA
35,31,William Beals & Co.,1,92.38,,1,,Boston,MA
35,31,William Beals & Co.,1,92.5,,1,,Boston,MA
35,31,William Beals & Co.,1,92.63,,1,,Boston,MA
35,31,William Beals & Co.,1,92.75,,1,,Boston,MA
35,31,William Beals & Co.,1,92.88,,1,,Boston,MA
35,31,William Beals & Co.,1,93,,1,,Boston,MA
35,31,William Beals & Co.,1,92.13,,1,,Boston,MA
35,32,S.A. Holbrook,5,91.05,,5,,Freeport,ME
35,33,Daniel W. Ladd,1,92,,1,,Epping,NH
35,34,Amos P. Tapley,5,93.35,,5,,Boston,MA
35,34,Amos P. Tapley,5,93.76,,5,,Boston,MA
35,35,"Brewster, Sweet & Co",10,93.25,,10,,Boston,MA
35,35,"Brewster, Sweet & Co",35,93,,35,,Boston,MA
35,35,"Brewster, Sweet & Co",25,92.56,,25,,Boston,MA
35,35,"Brewster, Sweet & Co",30,92.16,,30,,Boston,MA
35,36,James P. Thorndyke,10,92.5,,10,,Boston,MA
35,36,James P. Thorndyke,10,91.5,,10,,Boston,MA
35,37,"Blake, Brothers & Co",100,92.05,,100,,Boston,MA
35,37,"Blake, Brothers & Co",100,90.25,,100,,Boston,MA
35,39,Samuel S. Day,8,93.5,,8,,Springfield,MA
35,39,Samuel S. Day,5,93.45,,5,,Springfield,MA
35,39,Samuel S. Day,5,93.4,,5,,Springfield,MA
35,40,J.R. Beckett,5,91,,5,,Boston,MA
36,40,J.R. Beckett,5,90,,5,,Boston,MA
36,41,A.T. Lowe ,5,92,,5,,Boston,MA
36,41,A.T. Lowe,5,92.5,,5,,Boston,MA
36,41,A.T. Lowe,5,93,,5,,Boston,MA
36,41,A.T. Lowe,5,93.5,,5,,Boston,MA
36,42,"A.A. Burrage, executor",6,92.75,,6,,Boston,MA
36,43,"Aaron Morrell, Jr. ",2,93,,2,,Salisbury,MA
36,44,G. Currier,6,91.1,,6,,Boston,MA
36,44,G. Currier,6,91.6,,6,,Boston,MA
36,44,G. Currier,6,92.1,,6,,Boston,MA
36,44,G. Currier,6,92.5,,6,,Boston,MA
36,45,Peter Murray,10,93.8,,10,,New York,NY
36,46,John C. Rives,25,90,,25,,Washington,DC
36,47,T. Scott & Son,10,91,,10,,Baltimore,MD
36,47,T. Scott & Son,5,91.5,,5,,Baltimore,MD
36,48,Eli Lewis,5,91,,5,,York,PA
36,48,Eli Lewis,3,92,,3,,York,PA
36,48,Eli Lewis,2,93,,2,,York,PA
36,49,Martin Lewis,3,92.5,,3,,Baltimore,MD
36,49,Martin Lewis,4,92.13,,4,,Baltimore,MD
36,49,Martin Lewis,3,92.88,,3,,Baltimore,MD
36,50,McKim & Co.,30,92,,30,,Baltimore,MD
36,50,McKim & Co.,30,92.2,,30,,Baltimore,MD
36,50,McKim & Co.,40,92.25,,40,,Baltimore,MD
36,50,McKim & Co.,60,92.5,,60,,Baltimore,MD
36,50,McKim & Co.,50,92.6,,50,,Baltimore,MD
36,50,McKim & Co.,40,93,,40,,Baltimore,MD
36,51,James Tuttle,20,91.25,,20,,Boston,MA
36,52,Eugene Thompson,10,90,,10,,New York,NY
36,52,Eugene Thompson,5,90.25,,5,,New York,NY
36,52,Eugene Thompson,5,92,,5,,New York,NY
36,52,Eugene Thompson,5,91.25,,5,,New York,NY
37,53,Jeremiah Panburn,2,92.1,,2,,New York,NY
37,53,Jeremiah Panburn,3,92.6,,3,,New York,NY
37,54,Wm. J. Emmett,25,91.8,,25,,New York,NY
37,54,Wm. J. Emmett,25,92.05,,25,,New York,NY
37,54,Wm. J. Emmett,25,92.35,,25,,New York,NY
37,54,Wm. J. Emmett,25,92.55,,25,,New York,NY
37,55,Wm. B. Mott,100,91,,100,,New York,NY
37,56,Mariah McGregor,1,92,,1,,New York,NY
37,57,Thomas J. Tash,10,93.25,,10,,Philadelphia,PA
37,58,J.F. Farish,15,91.15,,15,,New York,NY
37,58,J.F. Farish,10,91.85,,10,,New York,NY
37,58,J.F. Farish,15,92,,15,,New York,NY
37,59,Robert L. Stewart,20,93.03,,20,,New York,NY
37,59,Robert L. Stewart,10,92.9,,10,,New York,NY
37,60,G.W. Rierson,20,93.11,,20,,New York,NY
37,61,Carpenter & Vermilye,5,91.5,,5,,New York,NY
37,61,Carpenter & Vermilye,5,92,,5,,New York,NY
37,61,Carpenter & Vermilye,25,92.5,,25,,New York,NY
37,61,Carpenter & Vermilye,5,93,,5,,New York,NY
